date,B1_value,B1_active,B2_value,B2_active,B3_value,B3_active,B4_value,B4_active,B5_value,B5_active,T1_value,T1_active,T2_value,T2_active,T3_value,T3_active,T4_value,T4_active,T5_value,T5_active,bullish_K,bearish_K,bullish_K,bearish_K
2010-01-04,85.33872598584429,True,74.79919678714859,True,,True,,True,92.92929292929293,False,93.69277721261444,True,0,False,,False,2.0,False,,False,4,1,4,1
2010-01-05,86.5520728008089,True,68.97590361445783,True,,True,,True,89.8989898989899,False,93.69277721261444,True,0,False,,False,2.0,False,,False,4,1,4,1
2010-01-06,86.95652173913044,True,66.06425702811245,True,,True,,True,87.87878787878788,False,94.60834181078332,True,0,False,,False,2.0,False,,False,4,1,4,1
2010-01-07,88.87765419615774,True,63.65461847389559,True,,True,,True,84.84848484848484,False,94.50661241098678,True,0,False,,False,2.0,False,,False,4,1,4,1
2010-01-08,89.47368421052632,False,66.86746987951807,False,,False,,False,88.88888888888889,False,95.01018329938901,True,0,False,,False,2.0,False,,False,0,1,0,1
2010-01-11,88.76518218623481,False,66.16465863453816,False,,False,,False,87.87878787878788,False,95.11201629327903,True,0,False,,False,2.0,False,,False,0,1,0,1
2010-01-12,85.82995951417004,False,50.70281124497992,False,,False,,False,82.82828282828282,False,94.39918533604889,True,0,False,,False,2.0,False,,False,0,1,0,1
2010-01-13,87.95546558704453,False,66.96787148594377,False,,False,,False,82.82828282828282,False,94.70468431771894,True,0,False,,False,2.0,False,,False,0,1,0,1
2010-01-14,87.24696356275304,False,64.05622489959839,False,,False,,False,84.84848484848484,False,94.80651731160896,True,0,False,,False,2.0,False,,False,0,1,0,1
2010-01-15,84.0080971659919,False,41.76706827309237,False,,False,,False,71.71717171717171,False,94.29735234215886,True,0,False,0.7822,False,2.0,False,,False,0,1,0,1
2010-01-19,87.34817813765183,False,60.94377510040161,False,,False,,False,76.76767676767676,False,95.41751527494908,True,0,False,0.9552,False,1.0,False,,False,0,1,0,1
2010-01-20,82.08502024291498,False,40.06024096385542,False,,False,,False,69.6969696969697,False,94.29735234215886,True,0,False,0.9648,False,1.0,False,,False,0,1,0,1
2010-01-21,74.89878542510121,False,22.188755020080322,False,,False,,False,54.54545454545454,False,91.44602851323829,True,0,False,1.5087,False,1.0,False,,False,0,1,0,1
2010-01-22,62.75303643724697,False,10.542168674698797,False,,False,,False,29.292929292929294,False,88.79837067209776,True,0,False,1.1839,False,0.0,True,,False,0,2,0,2
2010-01-25,64.17004048582996,False,12.751004016064257,False,,False,,False,30.303030303030305,False,89.71486761710794,True,0,False,1.3409,True,0.0,True,,False,0,3,0,3
2010-01-26,61.74089068825911,False,12.449799196787147,False,,False,,False,33.33333333333333,False,87.37270875763747,True,0,False,1.7021,True,0.0,False,,False,0,2,0,2
2010-01-27,62.145748987854255,False,18.97590361445783,True,,False,,False,34.34343434343434,False,87.67820773930754,True,0,False,1.0774,False,0.0,False,,False,1,1,1,1
2010-01-28,54.655870445344135,False,13.152610441767068,True,,False,,False,24.242424242424242,True,84.5213849287169,False,0,False,,False,-1.0,True,,False,2,1,2,1
2010-01-29,47.67206477732793,False,12.851405622489958,True,,False,,False,18.181818181818183,True,81.56822810590631,False,0,False,,False,-1.0,False,,False,2,0,2,0
2010-02-01,57.89473684210527,False,26.00401606425703,False,,False,,False,24.242424242424242,True,85.13238289205702,False,0,False,,False,0.0,False,,False,1,0,1,0
2010-02-02,63.1578947368421,False,57.028112449799195,False,-2.0,False,,False,31.313131313131315,False,87.37270875763747,False,0,False,,False,0.0,False,,False,0,0,0,0
2010-02-03,59.33062880324543,False,50.30120481927711,False,-2.0,False,,False,30.612244897959183,False,85.61224489795919,False,0,False,,False,1.0,False,,False,0,0,0,0
2010-02-04,39.553752535496955,False,12.951807228915662,False,-2.0,False,,False,17.346938775510203,True,78.16326530612245,False,0,False,,False,-1.0,False,,False,1,0,1,0
2010-02-05,40.97363083164301,False,15.66265060240964,False,-2.0,False,,False,18.367346938775512,True,78.26530612244898,False,0,False,,False,-1.0,False,,False,1,0,1,0
2010-02-08,35.39553752535497,False,11.947791164658634,False,-2.0,True,,False,16.161616161616163,True,74.08163265306122,False,0,False,,False,-1.0,False,,False,2,0,2,0
2010-02-09,42.393509127789045,False,30.522088353413658,False,-2.0,True,,False,19.19191919191919,True,77.75510204081633,False,0,False,,False,1.0,False,,False,2,0,2,0
2010-02-10,41.48073022312373,False,30.72289156626506,False,-2.0,True,,False,19.19191919191919,True,77.44897959183673,False,0,False,,False,-1.0,True,,False,2,1,2,1
2010-02-11,50.30425963488844,False,57.329317269076306,False,-2.0,True,,False,30.303030303030305,False,80.51020408163265,False,0,False,,False,0.0,False,,False,1,0,1,0
2010-02-12,51.52129817444219,False,57.831325301204814,False,-2.0,True,,False,27.27272727272727,True,80.10204081632652,False,0,False,,False,-1.0,False,,False,2,0,2,0
2010-02-16,63.14720812182741,False,85.34136546184739,False,-2.0,True,,False,38.38383838383838,False,84.67824310520939,False,0,False,,False,0.0,False,,False,1,0,1,0
2010-02-17,65.51724137931035,False,90.36144578313254,False,-2.0,True,,False,44.44444444444444,False,85.40816326530613,False,0,False,,False,0.0,False,,False,1,0,1,0
2010-02-18,68.52791878172589,False,92.67068273092369,False,-1.0,False,,False,56.56565656565656,False,86.0061287027579,False,0,False,,False,1.0,False,,False,0,0,0,0
2010-02-19,69.34010152284263,False,90.76305220883533,False,1.0,False,,False,56.56565656565656,False,86.21041879468847,False,0,False,,False,2.0,False,,False,0,0,0,0
2010-02-22,69.47261663286004,False,88.15261044176707,False,1.0,False,,False,51.515151515151516,False,85.3211009174312,False,0,False,1.1302,False,2.0,False,,False,0,0,0,0
2010-02-23,62.13197969543147,False,64.1566265060241,False,0.0,False,,False,43.43434343434344,False,82.95918367346938,False,0,False,1.2911,False,2.0,False,,False,0,0,0,0
2010-02-24,66.02434077079108,False,68.67469879518072,False,0.0,False,,False,59.59595959595959,False,83.07849133537208,False,0,False,1.037,False,2.0,False,,False,0,0,0,0
2010-02-25,64.8730964467005,False,61.34538152610441,False,0.0,False,,False,51.515151515151516,False,82.55102040816327,False,0,False,0.3241,False,1.0,False,,False,0,0,0,0
2010-02-26,65.92292089249493,False,59.83935742971887,False,1.0,False,,False,56.56565656565656,False,82.87461773700305,False,0,False,0.3878,False,1.0,False,,False,0,0,0,0
2010-03-01,70.89249492900609,False,76.80722891566265,False,1.0,False,,False,62.62626262626263,False,84.40366972477065,False,0,False,0.6967,False,2.0,False,,False,0,0,0,0
2010-03-02,72.57085020242914,False,81.82730923694778,False,1.0,False,72.95554778367442,False,65.65656565656566,False,85.5249745158002,False,0,False,0.314,False,2.0,False,,False,0,0,0,0
2010-03-03,74.08906882591093,False,80.72289156626506,False,1.0,False,64.25304260864043,False,69.6969696969697,False,86.13659531090724,False,0,False,0.4551,False,2.0,False,,False,0,0,0,0
